,n_HeavyAtomCount,LogP,n_SMILES
575,H15,P370,40824
576,H15,P380,33425
577,H15,P390,28633
578,H15,P400,21839
579,H15,P410,17742
580,H15,P420,14662
581,H15,P430,11740
582,H15,P440,8910
583,H15,P450,6915
584,H15,P460,5549
585,H15,P470,4772
586,H15,P480,3576
587,H15,P490,3127
588,H15,P500,7386
589,H15,P600,86
590,H16,M000,1357158
591,H16,M100,316656
592,H16,M200,38690
593,H16,M300,2258
594,H16,M400,45
595,H16,M500,1
596,H16,P000,234385
597,H16,P010,259054
598,H16,P020,278843
599,H16,P030,313877
600,H16,P040,321160
601,H16,P050,342792
602,H16,P060,367306
603,H16,P070,381995
604,H16,P080,387907
605,H16,P090,406708
606,H16,P100,424220
607,H16,P110,435095
608,H16,P120,452893
609,H16,P130,463771
610,H16,P140,480924
611,H16,P150,481952
612,H16,P160,489034
613,H16,P170,474960
614,H16,P180,466571
615,H16,P190,450857
616,H16,P200,443462
617,H16,P210,417621
618,H16,P220,416204
619,H16,P230,392305
620,H16,P240,383547
621,H16,P250,358795
622,H16,P260,348381
623,H16,P270,319451
624,H16,P280,308259
625,H16,P290,280541
626,H16,P300,255690
627,H16,P310,223831
628,H16,P320,207172
629,H16,P330,186769
630,H16,P340,163104
631,H16,P350,143360
632,H16,P360,130137
633,H16,P370,108326
634,H16,P380,94149
635,H16,P390,84533
636,H16,P400,67598
637,H16,P410,57125
638,H16,P420,46426
639,H16,P430,37743
640,H16,P440,28688
641,H16,P450,23997
642,H16,P460,18878
643,H16,P470,15057
644,H16,P480,11386
645,H16,P490,9152
646,H16,P500,27326
647,H16,P600,586
648,H16,P700,6
649,H16,P900,1
650,H17,M000,2353093
651,H17,M100,534105
652,H17,M200,64905
653,H17,M300,3977
654,H17,M400,89
655,H17,M500,0
656,H17,P000,404377
657,H17,P010,451171
658,H17,P020,474118
659,H17,P030,528030
660,H17,P040,566898
661,H17,P050,604958
662,H17,P060,650095
663,H17,P070,698619
664,H17,P080,715396
665,H17,P090,752175
666,H17,P100,781598
667,H17,P110,802420
668,H17,P120,818398
669,H17,P130,829076
670,H17,P140,868695
671,H17,P150,871558
672,H17,P160,893489
673,H17,P170,890734
674,H17,P180,901148
675,H17,P190,886857
676,H17,P200,878889
677,H17,P210,849403
678,H17,P220,824427
679,H17,P230,788434
680,H17,P240,774974
681,H17,P250,721574
682,H17,P260,696940
683,H17,P270,652754
684,H17,P280,625877
685,H17,P290,586026
686,H17,P300,555109
687,H17,P310,501000
688,H17,P320,468077
689,H17,P330,430987
690,H17,P340,380919
691,H17,P350,335249
692,H17,P360,307157
693,H17,P370,265542
694,H17,P380,232534
695,H17,P390,204570
696,H17,P400,172116
697,H17,P410,147582
698,H17,P420,126560
699,H17,P430,105552
700,H17,P440,84730
701,H17,P450,69303
702,H17,P460,55900
703,H17,P470,44718
704,H17,P480,34918
705,H17,P490,27773
706,H17,P500,84792
707,H17,P600,3334
708,H17,P700,6
709,H18,M000,3673133
710,H18,M100,826266
711,H18,M200,102040
712,H18,M300,6236
713,H18,M400,190
714,H18,M500,2
715,H18,P000,658005
716,H18,P010,723639
717,H18,P020,780557
718,H18,P030,842975
719,H18,P040,900341
720,H18,P050,979273
721,H18,P060,1037233
722,H18,P070,1122109
723,H18,P080,1175230
724,H18,P090,1244595
725,H18,P100,1221004
726,H18,P110,1367720
727,H18,P120,1401827
728,H18,P130,1426089
729,H18,P140,1400582
730,H18,P150,1487819
731,H18,P160,1519489
732,H18,P170,1520279
733,H18,P180,1545349
734,H18,P190,1536625
735,H18,P200,1531879
736,H18,P210,1521414
737,H18,P220,1502506
738,H18,P230,1465801
739,H18,P240,1431990
740,H18,P250,1365413
741,H18,P260,1309021
742,H18,P270,1231582
743,H18,P280,1198246
744,H18,P290,1113580
745,H18,P300,1060189
746,H18,P310,983714
747,H18,P320,918334
748,H18,P330,862583
749,H18,P340,788428
750,H18,P350,698749
751,H18,P360,652032
752,H18,P370,580204
753,H18,P380,509645
754,H18,P390,453226
755,H18,P400,392953
756,H18,P410,338569
757,H18,P420,294813
758,H18,P430,250509
759,H18,P440,207304
760,H18,P450,174533
761,H18,P460,147974
762,H18,P470,118514
763,H18,P480,95977
764,H18,P490,76127
765,H18,P500,244925
766,H18,P600,11659
767,H18,P700,74
768,H18,P800,3
769,H19,M000,5390599
770,H19,M100,1208413
771,H19,M200,154303
